name,rank,rank_points
Aziz Dougaz,215,256
Arthur Bouquier,216,254
Yu Hsiou Hsu,217,254
Borna Gojo,218,253
Pol Martin Tiffon,219,252
Rodrigo Pacheco Mendez,220,252
Dmitry Popko,221,249
Viktor Durasovic,222,248
Federico Cina,223,247
Yasutaka Uchiyama,224,247
Justin Engel,225,247
Alex Bolt,226,246
Edas Butvilas,227,245
Stefano Travaglia,228,244
Oliver Crawford,229,244
Clement Chidekh,230,244
Ugo Blanchet,231,243
Elias Ymer,232,243
Clement Tabur,233,242
Johannus Monday,234,242
George Loffhagen,235,239
Alex Barrena,236,239
Joao Lucas Reis Da Silva,237,237
Ilia Simakin,238,235
Nerman Fatic,239,233
Andrea Collarini,240,233
Ryan Peniston,241,232
Nicolas Mejia,242,231
Alvaro Guillen Meza,243,227
Adolfo Daniel Vallejo,244,226
Pavel Kotov,245,222
Marek Gengel,246,220
Aslan Karatsev,247,219
Ivan Gakhov,248,219
Mathys Erhard,249,217
Matias Soto,250,217
Andres Andrade,251,215
Facundo Diaz Acosta,252,214
Valentin Vacherot,253,213
Marat Sharipov,254,207
Matej Dodig,255,206
Geoffrey Blancaneaux,256,206
Alejandro Moro Canas,257,205
Juan Carlos Prado Angelo,258,204
Dimitar Kuzmanov,259,204
Filip Cristian Jianu,260,204
Norbert Gombos,261,203
Duje Ajdukovic,262,203
Frederico Ferreira Silva,263,203
Nicolas Alvarez Varona,264,202
Saba Purtseladze,265,202
Khumoyun Sultanov,266,201
Christoph Negritu,267,201
Yan Bai,268,200
Matteo Martineau,269,199
Patrick Zahraj,270,199
Tung-Lin Wu,271,197
Marko Topo,272,196
Facundo Mena,273,196
Lautaro Midon,274,196
Andres Martin,275,195
Giulio Zeppieri,276,193
Mili Poljicak,277,193
Arthur Gea,278,193
Matheus Pucinelli De Almeida,279,191
Karue Sell,280,189
Carlos Sanchez Jover,281,188
Max Houkes,282,187
Albert Ramos-Vinolas,283,184
Murkel Dellien,284,183
Aidan Mayo,285,182
Eliakim Coulibaly,286,181
Marco Cecchinato,287,180
Daniel Rincon,288,180
Adria Soriano Barrera,289,179
Jie Cui,290,178
Gonzalo Oliveira,291,177
Jakub Paul,292,176
Mika Brunold,293,176
Gonzalo Bueno,294,176
Tiago Pereira,295,176
Daniel Michalski,296,175
Hynek Barton,297,174
Lorenzo Giustino,298,172
Gustavo Heide,299,171
Genaro Alberto Olivieri,300,169
Tyler Zink,301,168
Nikolas Sanchez Izquierdo,302,168
Antoine Escoffier,303,166
Michael Geerts,304,166
Timofey Skatov,305,165
Max Hans Rehberg,306,164
Sumit Nagal,307,163
Andrea Vavassori,308,163
Corentin Denolly,309,163
Radu Albot,310,161
Alexander Ritschard,311,161
Moez Echargui,312,160
Juan Pablo Varillas,313,159
Alex Rybakov,314,159
Oleg Prihodko,315,159
Gastao Elias,316,159
Juan Bautista Torres,317,159
Arthur Fery,318,158
Jacopo Berrettini,319,158
Stefanos Sakellaridis,320,157
Patrick Maloney,321,157
Gijs Brouwer,322,156
Michael Mmoh,323,156
Renzo Olivo,324,156
Denis Yevseyev,325,156
Robin Bertrand,326,156
Yi Zhou,327,154
Roberto Cid Subervi,328,154
Jelle Sels,329,154
Moerani Bouzige,330,154
Philip Henning,331,152
Nicolas Kicker,332,151
Robert Strombachs,333,151
Alexey Vatutin,334,149
Blake Ellis,335,148
Andrej Martin,336,148
Alex Marti Pujolras,337,147
Dan Added,338,147
Federico Arnaboldi,339,147
Luka Mikrut,340,146
Tom Paris,341,146
Daniel Dutra Da Silva,342,146
Garrett Johns,343,146
Govind Nanda,344,145
Oriol Roca Batalla,345,145
Luciano Emanuel Ambrogi,346,145
Remy Bertola,347,145
Maximilian Marterer,348,143
Petr Bar Biryukov,349,143
Naoki Nakagawa,350,142
Christian Langmo,351,142
Diego Dedura,352,142
Raul Brancaccio,353,140
Joel Schwaerzler,354,140
Pedro Boscardin Dias,355,137
Andre Ilagan,356,136
Gabriel Debru,357,135
Alastair Gray,358,135
Inaki Montes-De La Torre,359,135
Mats Rosenkranz,360,134
Nicholas David Ionel,361,134
Pablo Llamas Ruiz,362,133
Gregoire Barrere,363,132
Hyeon Chung,364,132
Hiroki Moriya,365,132
Milos Karol,366,132
Masamichi Imamura,367,131
Henri Squire,368,131
Guido Ivan Justo,369,131
Fabrizio Andaloro,370,130
Daniil Glinka,371,130
Alfredo Perez,372,130
Toby Kodat,373,130
Gonzalo Villanueva,374,130
Mateus Alves,375,130
Lloyd Harris,376,129
Gilles Arnaud Bailly,377,129
Alex Molcan,378,128
Andrej Nedic,379,128
Oleksandr Ovcharenko,380,127
Zdenek Kolar,381,126
Adrian Andreev,382,125
Giovanni Fonio,383,125
Kilian Feldbausch,384,124
Lucas Poullain,385,124
Abdullah Shelbayh,386,123
Ricardas Berankis,387,122
Maximilian Neuchrist,388,122
Svyatoslav Gulin,389,122
Aryan Shah,390,121
Laurent Lokoli,391,120
Franco Roncadelli,392,120
Rudolf Molleker,393,120
Maximus Jones,394,120
Mariano Kestelboim,395,118
Seongchan Hong,396,117
Bernabe Zapata Miralles,397,117
Gabi Adrian Boitan,398,116
Lukas Pokorny,399,116
Tom Gentzsch,400,116
Karan Singh,401,116
Oliver Tarvet,402,115
Darwin Blanch,403,115
Sandro Kopp,404,115
Florent Bax,405,115
Dennis Novak,406,114
Lilian Marmousez,407,113
Paul Jubb,408,113
Federico Bondioli,409,113
Pedro Sakamoto,410,112
Gabriele Piraino,411,112
Juan Carlos Aguilar,412,112
Kyle Edmund,413,111
Franco Agamenone,414,111
Henry Searle,415,110
Marvin Moeller,416,110
Yusuke Takahashi,417,109
Vadym Ursu,418,109
Miguel Damas,419,109
Alexandr Binda,420,109
Kasidit Samrej,421,108
Neil Oberleitner,422,108
Matthew Dellavedova,423,108
Stefan Dostanic,424,107
Enrico Dalla Valle,425,106
Charles Broom,426,106
Max Alcala Gurri,427,106
Kris Van Wyk,428,106
Marc Polmans,429,105
Ryan Nijboer,430,104
Stefan Kozlov,431,103
Alvin Nicholas Tudorica,432,103
Sanhui Shin,433,102
Cezar Cretu,434,102
Manuel Guinard,435,101
Max Wiskandt,436,101
Gerard Campana Lee,437,101
Tibo Colson,438,101
Max Purcell,439,100
Martin Damm,440,99
Jakub Nicod,441,99
Iliyan Radulov,442,99
Oleksii Krutykh,443,99
Michael Zheng,444,98
Stuart Parker,445,98
Giles Hussey,446,97
Maxim Mrva,447,96
Hamish Stewart,448,96
Alex Hernandez,449,96
Woobin Shin,450,96
Petr Nesterov,451,94
Dominik Koepfer,452,93
Javier Barranco Cosano,453,93
Tommaso Compagnucci,454,92
Pedro Araujo,455,92
Gabriele Pennaforti,456,92
Anton Matusevich,457,91
Aristotelis Thanos,458,91
J.J. Wolf,459,90
Petr Brunclik,460,90
Mukund Sasikumar,461,90
Andrea Picchione,462,90
Kokoro Isomura,463,90
Eric Vanshelboim,464,90
Olle Wallin,465,89
Dane Sweeny,466,89
Valerio Aboian,467,88
Juan Manuel La Serna,468,88
Maxwell Mckennon,469,88
Antoine Ghibaudo,470,87
Branko Djuric,471,87
Renta Tokuda,472,86
Bor Artnak,473,86
Tristan Lamasine,474,85
Lorenzo Joaquin Rodriguez,475,85
Sergey Fomin,476,85
Olaf Pieczkowski,477,85
Rafael Jodar,478,84
Leo Borg,479,84
Nikolay Vylegzhanin,480,84
Dali Blanch,481,84
Yurii Dzhavakian,482,84
Dan Alexandru Tomescu,483,83
Florian Broska,484,83
Ergi Kirkin,485,83
Keegan Smith,486,83
Leandro Riedi,487,82
Micah Braswell,488,82
Enzo Couacaud,489,82
Eduardo Ribeiro,490,82
Alessandro Pecci,491,82
Takuya Kumasaka,492,82
Gianluca Cadenasso,493,82
Peter Bertran,494,82
Hernan Casanova,495,81
Tadeas Paroulek,496,81
Michael Vrbensky,497,80
Arthur Reymond,498,80
Luca Castelnuovo,499,80
Martin Krumich,500,80
Erik Arutiunian,501,80
Benjamin Lock,502,79
Ryuki Matsuda,503,79
Evgeny Karlovskiy,504,78
Ajeet Rai,505,78
Jake Delaney,506,78
Filip Peliwo,507,78
Christian Sigsgaard,508,77
Viacheslav Bielinskyi,509,77
Alex Martinez,510,77
David Jorda Sanchis,511,77
Harry Wendelken,512,77
Cem Ilkel,513,76
Maxime Chazal,514,76
Hikaru Shiraishi,515,76
Samir Banerjee,516,75
Jonas Forejtek,517,75
Peter Fajta,518,75
Luca Potenza,519,75
Loann Massard,520,75
Kirill Kivattsev,521,75
Stefan Popovic,522,75
Evgenii Tiurnev,523,74
Egor Agafonov,524,74
Eero Vasa,525,74
Alejo Sanchez Quilez,526,74
Tristan Mccormick,527,74
Maks Kasnikowski,528,72
Manuel Mazza,529,72
Facundo Juarez,530,72
Cannon Kingsley,531,71
Liam Broady,532,71
Elmar Ejupovic,533,71
Martin Klizan,534,70
Federico Iannaccone,535,70
Tsung-Hao Huang,536,70
Kenta Miyoshi,537,69
Alec Beckley,538,69
Daniel Masur,539,69
Mae Malige,540,68
Carlos Lopez Montagud,541,68
Antoine Cornut-Chauvinc,542,67
Daniel Milavsky,543,67
Conner Huertas Del Pino,544,67
Yuki Mochizuki,545,67
Michiel De Krom,546,67
Aidan Mchugh,547,67
Dominik Kellovsky,548,67
Stefan Adrian Andreescu,549,67
Andrea Guerrieri,550,66
Rigele Te,551,66
Alafia Ayeni,552,66
James Story,553,66
Diego Schwartzman,554,65
Keisuke Saitoh,555,65
Felix Corwin,556,65
Adhithya Ganesan,557,65
Edward Winter,558,65
Alexander Weis,559,65
Dan Martin,560,65
Pierluigi Basile,561,64
Etienne Donnet,562,64
Dominik Palan,563,64
Maxime Janvier,564,64
Trevor Svajda,565,63
Andrew Paulson,566,63
Damien Wenger,567,63
Louis Wessels,568,63
Vladyslav Orlov,569,63
Arda Azkara,570,62
Denis Klok,571,62
Lorenzo Carboni,572,62
Paulo Andre Saraiva Dos Santos,573,62
Evan Zhu,574,62
Emil Ruusuvuori,575,61
Jozef Kovalik,576,61
Shintaro Imai,577,61
Yanki Erel,578,61
Filippo Moroni,579,60
Filip Jeff Planinsek,580,60
Gianmarco Ferrari,581,60
Emilien Demanet,582,60
Luca Castagnola,583,60
Gianluca Mager,584,59
Mirza Basic,585,59
Felix Gill,586,59
Jose Pereira,587,59
Sebastian Sorger,588,59
Johan Alexander Rodriguez,589,59
James Watt,590,59
Egor Gerasimov,591,58
Soonwoo Kwon,592,58
Lucas Gerch,593,58
Filippo Romano,594,58
Blake Mott,595,58
Ewen Lumsden,596,58
Ryan Seggerman,597,57
Arthur Weber,598,57
Julio Cesar Porras,599,57
Imanol Lopez Morillo,600,57
John Echeverria,601,57
Joao Eduardo Schiessl,602,57
Sergi Perez Contri,603,57
Hazem Naw,604,56
Philip Sekulic,605,56
Robin Catry,606,56
Altug Celikbilek,607,55
Joao Domingues,608,55
Samuel Vincent Ruggeri,609,55
Kaichi Uchida,610,55
Fares Zakaria,611,55
Dev Javia,612,55
Aidan Kim,613,54
Alexey Zakharov,614,54
Jiri Vesely,615,54
Theo Papamalamis,616,54
Ilya Snitari,617,54
Justin Boulais,618,54
Stefan Palosi,619,54
Aleksandre Bakshi,620,54
Leonardo Rossi,621,54
Kenny De Schepper,622,54
Mikael Ymer,623,53
Omni Kumar,624,53
Sean Cuenin,625,53
Jacob Brumm,626,53
Luis Carlos Alvarez,627,52
Kyle Kang,628,52
Carlo Alberto Caniato,629,52
Benoit Paire,630,52
Tim Handel,631,52
Alex Knaff,632,52
Karl Poling,633,52
Niels Visker,634,52
Ramkumar Ramanathan,635,51
Akira Santillan,636,51
Michael Agwi,637,51
Nicolas Arseneault,638,51
Linang Xiao,639,51
Jack Loge,640,51
Aleksandr Braynin,641,51
Nick Kyrgios,642,50
Orlando Luz,643,50
Pedro Rodrigues,644,50
Pietro Fellin,645,50
Bruno Kuzuhara,646,50
Mees Rottgering,647,50
Lucas Bouquet,648,50
Stijn Slump,649,50
Tomasz Berkieta,650,50
Colin Sinclair,651,50
Ben Jones,652,50
Aziz Ouakaa,653,50
Millen Hurrion,654,49
Maxim Zhukov,655,49
Hayato Matsuoka,656,49
Giovanni Oradini,657,49
Strong Kirchheimer,658,49
Nino Ehrenschneider,659,49
Sebastian Gima,660,49
Andrey Chepelev,661,49
Max Basing,662,48
Pedro Cachin,663,48
Pawit Sornlaksup,664,48
Mikalai Haliak,665,48
Buvaysar Gadamauri,666,48
Massimo Giunta,667,48
Mitsuki Wei Kang Leong,668,48
Michal Krajci,669,48
Joris De Loore,670,47
Tianhui Zhang,671,47
Tuncay Duran,672,47
Tomas Farjat,673,47
Taisei Ichikawa,674,47
Bogdan Bobrov,675,47
Maxence Beauge,676,47
Alberto Barroso Campos,677,47
Mathias Bourgue,678,46
Jacopo Vasami,679,45
Alexander Donski,680,45
Maxime Cressy,681,45
Trey Hilderbrand,682,45
Louis Dussin,683,45
Ye Cong Mo,684,45
Juan Pablo Paz,685,45
Francisco Rocha,686,45
Guillaume Dalmasso,687,45
Adrian Oetzbach,688,45
Facundo Bagnis,689,44
Cooper Williams,690,44
Radu Mihai Papoe,691,44
Andres Santamarta Roig,692,44
Pavle Marinkov,693,44
Matthew William Donald,694,44
Juan Estevez,695,44
Cyril Vandermeersch,696,43
Ignacio Monzon,697,43
William Grant,698,43
Diego Augusto Barreto Sanchez,699,43
Jisung Nam,700,42
Joshua Sheehy,701,42
Mohamed Safwat,702,42
Santiago De La Fuente,703,42
Lorenzo Rottoli,704,42
Manas Dhamne,705,42
Alejandro Manzanera Pertusa,706,42
Emile Hudd,707,41
Mert Alkaya,708,41
John Sperle,709,41
Iannis Miletich,710,41
Samir Hamza Reguig,711,41
Ernesto Escobedo,712,40
Miguel Tobon,713,40
Uisung Park,714,40
Isaiah Strode,715,40
Axel Garcian,716,40
Thomas Faurel,717,40
Dusan Obradovic,718,40
Kosuke Ogura,719,40
Wishaya Trongcharoenchaikul,720,40
Raphael Perot,721,39
Nick Hardt,722,39
Elliot Benchetrit,723,39
Ryotaro Taguchi,724,39
Bautista Vilicich,725,39
Andrew Fenty,726,39
Blaise Bicknell,727,38
Gabriel Ghetu,728,38
Yaroslav Demin,729,38
Wilson Leite,730,38
Ivan Marrero Curbelo,731,38
Igor Gimenez,732,38
Taha Baadi,733,38
Gergely Madarasz,734,37
Jacob Bradshaw,735,37
Semen Pankin,736,37
Johan Nikles,737,37
Amaury Raynel,738,37
Leo Vithoontien,739,37
Mario Gonzalez Fernandez,740,37
Noah Schachter,741,37
Denis Kudla,742,36
Samuel Alejandro Linde Palacios,743,36
Kuan-Yi Lee,744,36
Lorenzo Bocchi,745,35
Steven Diez,746,35
Jakub Filip,747,35
Niccolo Catini,748,35
Pierre Yves Bailly,749,34
Ali Yazdani,750,34
Alan Magadan,751,34
Stefano Napolitano,752,34
Yusuke Kusuhara,753,34
Alexis Gautier,754,34
Albert Pedrico Kravtsov,755,34
Adrien Gobat,756,34
Aleksandr Lobanov,757,34
Michele Ribecai,758,34
Nick Chappell,759,33
Alan Fernando Rubio Fierros,760,33
Abel Forger,761,33
Fausto Tabacco,762,33
Amr Elsayed,763,33
Gavin Young,764,32
Igor Marcondes,765,32
Luca Preda,766,32
Yuta Kawahashi,767,32
Alexander Klintcharov,768,32
Ignacio Parisca Romera,769,32
Dragos Nicolae Cazacu,770,32
Orel Kimhi,771,31
Savva Polukhin,772,31
Koki Matsuda,773,31
Pierre Delage,774,31
Pablo Masjuan Ginel,775,31
Nicolas Tepmahc,776,31
Kiranpal Pannu,777,31
Felix Balshaw,778,31
Kai Wehnelt,779,31
S D Prajwal Dev,780,31
Roger Pascual Ferra,781,30
Attila Boros,782,30
Daniel Antonio Nunez,783,30
Quinn Vandecasteele,784,30
Rodrigo Alujas,785,30
Matthew Summers,786,30
Mate Valkusz,787,29
Dhakshineswar Suresh,788,29
Henry Bernet,789,29
Blu Baker,790,29
Reda Bennani,791,29
Duarte Vale,792,29
Kalin Ivanovski,793,29
Dinko Dinev,794,29
Gustavo Ribeiro De Almeida,795,29
Martin Van Der Meerschen,796,29
Sidharth Rawat,797,29
Yuta Kikuchi,798,29
Mert Naci Turker,799,29
Franco Ribero,800,29
Josip Simundza,801,29
Francesco Forti,802,28
Daniel Cukierman,803,28
Rudy Quan,804,28
Kaylan Bigun,805,28
Hoyoung Roh,806,28
Jules Marie,807,28
Sebastian Prechtel,808,28
Lautaro Agustin Falabella,809,28
Ezekiel Clark,810,28
Maxence Bertimon,811,28
Ozan Baris,812,27
Jack Anthrop,813,27
Ilya Ivashka,814,27
Ivan Ivanov,815,27
Victor Lilov,816,27
Oliver Anderson,817,27
Gilbert Klier Junior,818,27
Leonardo Aboian,819,27
Shinji Hazawa,820,27
Maik Steiner,821,27
Naoya Honda,822,27
Georgii Kravchenko,823,27
Taiyo Yamanaka,824,27
Yanaki Milev,825,27
Oliver Bonding,826,26
Moise Kouame,827,26
Mateo Barreiros Reyes,828,26
Filip Pieczonka,829,26
Mwendwa Mbithi,830,26
Miles Jones,831,26
Ryan Fishback,832,26
Thanapet Chanta,833,26
Giuseppe La Vela,834,26
Constantin Bittoun Kouzmine,835,26
Stefano D'Agostino,836,26
Tomohiro Masabayashi,837,26
Oscar Weightman,838,25
Jay Dylan Hara Friend,839,25
Ognjen Milic,840,25
Cruz Hewitt,841,25
Savriyan Danilov,842,25
Ioannis Xilas,843,25
Matt Hulme,844,25
Tyler Stice,845,25
Tai Sach,846,25
Leo Raquillet,847,25
Zura Tkemaladze,848,25
Thiago Cigarran,849,25
Marcello Serafini,850,25
Joaquin Aguilar Cardozo,851,25
Juan Ignacio Londero,852,24
Shunsuke Mitsui,853,24
Patrick Brady,854,24
Radu David Turcanu,855,24
Tomas Serrano Luis,856,24
Samuel Heredia,857,24
Elgin Khoeblal,858,24
Kane Bonsach Ganley,859,24
Chirag Duhan,860,24
Menelaos Efstathiou,861,24
Jasza Szajrych,862,24
Tomas Curras Abasolo,863,24
Mihai Razvan Marinescu,864,24
Kristijan Juhas,865,23
Maximilian Homberg,866,23
Evgeny Philippov,867,23
Juan Sebastian Osorio,868,23
Nikita Mashtakov,869,23
Michael Bassem Sobhy,870,23
Louis Tessa,871,23
Dimitris Sakellaridis,872,23
Nicolas Ian Kotzen,873,22
Yassine Dlimi,874,22
Georgi Georgiev,875,22
Sora Fukuda,876,22
Pawel Juszczak,877,22
Ivan Nedelko,878,22
Enzo Wallart,879,22
Sebastian Fanselow,880,22
Yaojie Zeng,881,22
Alexandre Reco,882,22
Thomas Braithwaite,883,22
Arthur Nagel,884,22
Yanis Ghazouani Durand,885,22
Pietro Marino,886,22
Marlon Vankan,887,22
Niklas Schell,888,22
Cedrik-Marcel Stebe,889,21
Toby Samuel,890,21
Daisuke Sumizawa,891,21
Juan Cruz Martin Manzano,892,21
Samuele Pieri,893,21
Matt Kuhar,894,21
Amit Vales,895,21
Nicolas Jadoun,896,21
Paul Inchauspe,897,20
Juan Sebastian Gomez,898,20
Toufik Sahtali,899,20
Axel Nefve,900,20
Sergio Callejon Hernando,901,20
Benjamin Thomas George,902,20
Artur Kukasian,903,20
Seydina Andre,904,20
Zoran Ludoski,905,19
Alejo Lorenzo Lingua Lavallen,906,19
Benjamin Torrealba,907,19
Matteo Covato,908,19
Lucas Marionneau,909,19
Lasse Poertner,910,19
Matyas Cerny,911,19
Kristjan Tamm,912,19
Andrea Fiorentini,913,19
Nikita Bilozertsev,914,18
Jea Moon Lee,915,18
Filippo Speziali,916,18
Simeon Stankovic,917,18
Alessandro Bellifemine,918,18
Jeremy Gschwendtner,919,18
Brian Bozemoj,920,18
Duckhee Lee,921,18
Gregor Ramskogler,922,18
Mariano Tammaro,923,18
Daniel De Jonge,924,18
Maxence Rivet,925,18
Niccolò Ciavarella,926,18
Alexandre Aubriot,927,18
Saveliy Ivanov,928,18
Andrew Delgado,929,17
Alec Deckers,930,17
Luca Pow,931,17
Spencer Johnson,932,17
David Pichler,933,17
Stefan Latinovic,934,17
Thomas Deschamps,935,17
Daniil Ostapenkov,936,17
Elijah Strode,937,17
Alberto Bronzetti,938,17
Chanyeong Oh,939,17
Adil Kalyanpur,940,17
Marcus Walters,941,17
Gian Marco Ortenzi,942,17
Joshua Charlton,943,17
Diogo Marques,944,17
Diego Fernandez Flores,945,17
Grigoriy Lomakin,946,17
Kaito Uesugi,947,16
Timo Legout,948,16
Thomas Fancutt,949,16
Devin Badenhorst,950,16
Blaz Rola,951,16
Timofei Derepasko,952,16
Sebastian Eriksson,953,16
Jaden Weekes,954,16
Pepijn Bastiaansen,955,16
Enzo Kohlmann De Freitas,956,16
Daniel Paty,957,16
Jumpei Yamasaki,958,16
Ruslan Tiukaev,959,16
Kasra Rahmani,960,16
Bogdan Pavel,961,16
Mika Lipp,962,16
Rares Teodor Pieleanu,963,16
Nikola Basic,964,16
Jesse Delaney,965,16
Benito Sanchez Martinez,966,15
Pedro Vives Marcos,967T,15
Kuang Qing Xu,967T,15
Lorenzo Gagliardo,969,15
Oskari Paldanius,970,15
Amir Omarkhanov,971,15
Petros Tsitsipas,972,15
Ioan Alexandru Chirita,973,15
Jan Kumstat,974,15
Nino Serdarusic,975,15
Marcel Zielinski,976,15
Aristarkh Safonov,977,15
Siddharth Vishwakarma,978,15
Chase Ferguson,979,15
M Rifki Fitriadi,980,15
Salvador Price,981,15
David Poljak,982,15
Sheng Tang,983,15
Marko Maksimovic,984T,15
