player0_rank,player0_rank_points,player0_hand,player1_rank,player1_rank_points,player1_hand,surface,tourney_level,round,best_of,label,rank_diff,rank_points_diff,ht_diff,age_diff
-0.6279327906984761,0.168534671632897,1,-0.15786786208282233,-0.4401579808405935,0,3,0,6,0,0,-0.3673336730022687,0.4730650972991513,0.834415788137817,-1.7340548040439538
-0.284610493760719,-0.36556466355677597,0,1.1496292703177577,-0.7022648075493638,1,3,0,6,0,1,-1.149924050368951,0.26308502843916454,-0.7251607547980918,-0.03620279025384551
-0.29364529104855475,-0.363762303595506,1,-0.19320562241797315,-0.40784344056143,1,3,0,6,0,0,-0.07564089598377803,0.035412625617582474,0.21058517096345347,-0.9589484499223824
-0.3207496829120619,-0.33852926413772616,1,-0.17553674225039775,-0.42759121517647436,1,3,0,6,0,0,-0.11121318586408177,0.07033170580494169,-0.2053019071527889,0.2775307340334569
0.7814955862038951,-0.6683611370501339,1,-0.41406662451266574,-0.2737979401441593,1,3,0,6,0,0,0.9488410525689699,-0.30493200927521197,-0.5172172157399707,0.6650839110942426
-0.09487975071616907,-0.461690528157842,1,-0.27271558317206246,-0.3641589694433016,1,3,0,6,0,1,0.1449073012741052,-0.07446608003864118,0.002641631905332292,0.44362495277379327
-0.1852277235945262,-0.42384096897117224,1,1.4588346732503275,-0.71542999062606,1,3,0,6,0,0,-1.320671041794409,0.22816594825180533,0.002641631905332292,1.9938376610169355
-0.33881927748773333,-0.3283158910238629,1,2.2362654006236453,-0.7435556090171839,1,3,0,6,0,0,-2.067689129280788,0.32407702183308534,-0.8291325243271525,0.18525616806660322
-0.3930280612147476,-0.29347026510597646,1,-0.11369566166388383,-0.4545199987424439,0,3,0,6,0,0,-0.217930055504993,0.12620223410471643,0.002641631905332292,-0.922038623535641
0.13099018147972377,-0.5500061662600714,1,0.30152302227413824,-0.5903607513974459,1,3,0,6,0,1,-0.13967101776832477,0.033084686938425194,-0.5172172157399707,-0.5344854464748553
-0.07681015614049763,-0.46769839469540864,1,-0.25504670300448706,-0.3683478913313413,1,3,0,6,0,0,0.1449073012741052,-0.07586284324613556,-0.5172172157399707,-1.0327681026958657
